	ReferenceID	Latitude	Longitude	DateTime	day_of_week_sin	day_of_week_cos	time_sin	time_cos
93	SAPD24146548	-0.590080388033386	-0.33761663674595566	2024-07-06 15:00:00.000	-0.9749279121818236	-0.2225209339563146	-0.7071067811865475	-0.7071067811865477
94	SAPD24149627	-0.6372659588901817	-0.2635873404646931	2024-07-06 12:00:00.000	-0.9749279121818236	-0.2225209339563146	1.2246467991473532e-16	-1.0
95	SAPD24146144	-0.39410487755241386	-0.5945785582113494	2024-07-06 00:40:00.000	-0.9749279121818236	-0.2225209339563146	0.17364817766693033	0.984807753012208
96	SAPD24146104	-0.4977231870293719	-0.7740924145087429	2024-07-05 23:20:00.000	-0.433883739117558	-0.9009688679024191	-0.1736481776669304	0.984807753012208
97	SAPD24147840	-0.8647183026931673	-0.4035885163553409	2024-07-05 18:00:00.000	-0.433883739117558	-0.9009688679024191	-1.0	-1.8369701987210297e-16
98	SAPD24145821	-0.6212561902177629	-0.38397203487913323	2024-07-05 16:03:00.000	-0.433883739117558	-0.9009688679024191	-0.872496007072797	-0.4886212414969553
99	SAPD24146366	-0.0993148361712245	-0.6690973600377452	2024-07-05 16:00:00.000	-0.433883739117558	-0.9009688679024191	-0.8660254037844385	-0.5000000000000004
100	SAPD24157819	0.3670799131673461	-0.7006303230655568	2024-07-05 13:07:00.000	-0.433883739117558	-0.9009688679024191	-0.2881962681340888	-0.9575713608048146
101	SAPD24146976	0.008543348483813551	-0.42131431503808314	2024-07-05 08:00:00.000	-0.433883739117558	-0.9009688679024191	0.8660254037844387	-0.4999999999999998
102	SAPD24145345	0.08268180584763574	-0.7450820885231548	2024-07-05 01:08:00.000	-0.433883739117558	-0.9009688679024191	0.2923717047227367	0.9563047559630355
103	SAPD24145140	-0.048063225018663	-0.24928031066876233	2024-07-04 19:03:00.000	0.43388373911755823	-0.900968867902419	-0.9624552364536474	0.2714404498650739
104	SAPD24145094	0.3121692897361106	-0.5947650365142731	2024-07-04 11:30:00.000	0.43388373911755823	-0.900968867902419	0.13052619222005157	-0.9914448613738104
105	SAPD24144751	0.06379316192931239	-0.5004458648852057	2024-07-04 02:48:00.000	0.43388373911755823	-0.900968867902419	0.6691306063588582	0.7431448254773942
106	SAPD24144888	-0.6064378264703878	-0.3808847829753298	2024-07-03 22:00:00.000	0.9749279121818236	-0.22252093395631434	-0.5000000000000004	0.8660254037844384
107	SAPD24144581	0.16618614747981253	-0.1812804795151326	2024-07-03 16:30:00.000	0.9749279121818236	-0.22252093395631434	-0.9238795325112865	-0.38268343236509034
108	24-P18929	0.18480767926191377	0.9609457454212398	2024-07-03 16:00:00.000	0.9749279121818236	-0.22252093395631434	-0.8660254037844385	-0.5000000000000004
109	SAPD24144104	-0.7001899464079764	-0.7139738816297581	2024-07-03 09:36:00.000	0.9749279121818236	-0.22252093395631434	0.5877852522924732	-0.8090169943749473
110	SAPD24144567	0.1183815548470144	-0.4805600258603592	2024-07-03 07:30:00.000	0.9749279121818236	-0.22252093395631434	0.9238795325112867	-0.3826834323650897
